,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1,¿Ya vieron todo lo que incluye el Plan Integral de Movilidad que presentó el gobernador @EnriqueAlfaroR para enfren… https://t.co/QMerTjnOaC,FALSE,0,#N/D,4/27/2023 20:14:13,TRUE,#N/D,1651681174425858048,#N/D,"<a href=""http://www.socialbakers.com/"" rel=""nofollow"">Emplifi</a>",VeroDelgadilloG,0,FALSE,FALSE,#N/D,#N/D
2,"RT @JorgeAldanaB: En nuestro compromiso por mejorar la movilidad de la capital, hemos realizado un mapeo integral de la ciudad y la hemos d…",FALSE,0,#N/D,4/27/2023 20:11:35,FALSE,#N/D,1651680513139044357,#N/D,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",DbcontrolI33590,27,TRUE,FALSE,#N/D,#N/D
3,"RT @quierotv_gdl: ""Solución López Mateos"" 
?? Conoce la estrategia de movilidad para el Sur del AMG.

Las nuevas ruta ""Troncal Norte"" y ""Tro…",FALSE,0,#N/D,4/27/2023 16:29:05,FALSE,#N/D,1651624516576067589,#N/D,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",LiborioRG,1,TRUE,FALSE,#N/D,#N/D
4,"""Solución López Mateos"" 
?? Conoce la estrategia de movilidad para el Sur del AMG.

Las nuevas ruta ""Troncal Norte""… https://t.co/qmWcsCxRBZ",FALSE,1,#N/D,4/27/2023 16:22:36,TRUE,#N/D,1651622886539403264,#N/D,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",quierotv_gdl,1,FALSE,FALSE,#N/D,#N/D
5,"RT @PpopularElche: Proponemos un Plan de Movilidad Integral Municipal: 

???? Contemplar el servicio de Bicielx a las pedanías. 

????Incorpora…",FALSE,0,#N/D,4/27/2023 16:04:09,FALSE,#N/D,1651618245529485317,#N/D,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Eduardo65539796,7,TRUE,FALSE,#N/D,#N/D
6,"RT @PpopularElche: Proponemos un Plan de Movilidad Integral Municipal: 

???? Contemplar el servicio de Bicielx a las pedanías. 

????Incorpora…",FALSE,0,#N/D,4/27/2023 14:27:21,FALSE,#N/D,1651593882465910785,#N/D,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",LoliSernaElx,7,TRUE,FALSE,#N/D,#N/D
7,"RT @PpopularElche: Proponemos un Plan de Movilidad Integral Municipal: 

???? Contemplar el servicio de Bicielx a las pedanías. 

????Incorpora…",FALSE,0,#N/D,4/27/2023 14:20:01,FALSE,#N/D,1651592038796742656,#N/D,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",agullo2555,7,TRUE,FALSE,#N/D,#N/D
8,"RT @PpopularElche: Proponemos un Plan de Movilidad Integral Municipal: 

???? Contemplar el servicio de Bicielx a las pedanías. 

????Incorpora…",FALSE,0,#N/D,4/27/2023 14:19:33,FALSE,#N/D,1651591918235557888,#N/D,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",PabloRuzV,7,TRUE,FALSE,#N/D,#N/D
9,"RT @PpopularElche: Proponemos un Plan de Movilidad Integral Municipal: 

???? Contemplar el servicio de Bicielx a las pedanías. 

????Incorpora…",FALSE,0,#N/D,4/27/2023 14:17:29,FALSE,#N/D,1651591398263586816,#N/D,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JuandeNavarro,7,TRUE,FALSE,#N/D,#N/D
10,"RT @PpopularElche: Proponemos un Plan de Movilidad Integral Municipal: 

???? Contemplar el servicio de Bicielx a las pedanías. 

????Incorpora…",FALSE,0,#N/D,4/27/2023 14:16:42,FALSE,#N/D,1651591203404623873,#N/D,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",luciaperal18,7,TRUE,FALSE,#N/D,#N/D
